"부디, 얼지 않게끔","P. 12  내 몸은 전혀 상상하지 못한 방향으로 변해버렸으며 그 사실을 알게 된 건 그 누구도 아닌, 송희진을 통해서였다.그러니까 이제 모든 것은 희진, 그녀에게 달렸다."
"부디, 얼지 않게끔","P. 33  “대리님, 그거 맞죠? 파충류나 양서류 그런 종류요. 땀도 안 나고 온도에 따라 체온도 변하고 하는, 그거 뭐더라, 그거요, 대리님.”"
"부디, 얼지 않게끔","P. 70  “아, 허물. 허물을 벗을 수 있다고 그랬어요, 동면을 해야만요. 그게 꼭 동면은 아니더라도, 몸을 일부러 차갑게 만들고 주변 온도를 낮추고 나야 또 그다음 해를 살 수 있는 동력을 얻는다던가, 뭐 그랬거든요.”"
"부디, 얼지 않게끔","P. 77  “제가 희진 씨에게 도움을 줬다고요? 저는 아무것도 한 게 없는데.” “말을 보태지 않으셨잖아요, 그런 소문들에.”"
"부디, 얼지 않게끔","P. 85  만반의 준비를 마쳤다고 생각했던 날, 퇴근하자마자 운동복으로 갈아입고 집 앞에서부터 달리기를 시작했다."
"부디, 얼지 않게끔","P. 131  아주 어릴 때 친구가 장난으로 눈과 얼음을 목 안쪽으로 흘려보냈을 때의 기분, 양팔을 비틀어가며 그 차가운 덩어리들을 몸 밖으로 털어내던 때의 기억이 떠올랐다."
"부디, 얼지 않게끔","P. 153  사무실 직원들에게 소문이 어떻게 퍼졌는지는 모르겠지만, 나는 그 뒤로 얼마 동안 팀원들에게 비타민이며 홍삼캔디며 하는 건강식품 선물 공세에 시달렸다."
"부디, 얼지 않게끔",P. 199  “희진 씨가 변온인간으로 바뀌면 내가 도와줄게요.”
"걸어도, 걸어도","P. 74  나에게 전태일은 도대체 누구였을까. 초등학교 시설 ‘사람이 스스로 몸에 불을 붙였다’는 충격에 며칠 동안 울적했던 순간부터 고등학교 시절 전태일의 ‘대학생 친구’가 되겠다는 생각으로 수험기간을 버티었던 순간까지. 저에게 전태일은 항상 인생의 순간순간에서 살아갈 힘을 주었던 존재였습니다. … 제 글을 읽는다고 해서 각자의 삶의 문제가 해결되지는 않을 겁니다. 다만 각자 삶의 순간 속에서 언젠가 우리와 같은 위치에서 걸었던 전태일을 떠올릴 수 있다면, 그것으로 저는 행복할 거 같습니다. ― 생활글 부문 당선자 수상 소감 중에서  접기"
"걸어도, 걸어도","P. 113~114  우리는 전태일정신에 대해서 명확히 말할 자신이 없다. ‘조금 투박하더라도 전태일정신에 부합하는 작품’을 고르는 일은 녹록하지 않다. 그런데 읽으면서 딱 그런 소설이라 느껴지는 경우가 있다. 「어금니」가 그랬다. 「어금니」에 노동자에게 한없이 가혹한 자본주의 질서에 항거하는 강력한 행동이나 발언이 있는 것은 아니었다. 심지어 일말의 어설픈 희망조차 없었다. 대단한 이야기가 있는 것도 아니다. 비닐공장 생산직노동자의 하루 노동을 보여 줄 뿐이다. … 투박한 문장 속에 용솟음치는 진정성으로, ‘노동’의 적나라한 모습을 묘파했다. … 이처럼 생생한 노동을 그려 낸 작품이 있었을까. ― 소설 부문 심사평 <투박한 문장 속에 용솟음치는 진정성을 생생히 그려 낸 작품> 중에서  접기"
